"STATION,""NAME"",""DATE"",""TMAX"",""TMIN"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-17"",""62"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-18"",""64"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-19"",""68"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-20"",""83"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-21"",""64"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-22"",""61"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-23"",""66"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-24"",""66"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-25"",""64"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-26"",""74"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-27"",""60"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-28"",""65"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-29"",""70"",""58"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-30"",""70"",""61"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-10-01"",""72"",""59"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-10-02"",""78"",""61"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-10-03"",""71"",""61"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-10-04"",""68"",""57"""
